id,name,rarity,image_url,detail_url,attribute,availability
3,中野有香,ノーマル,https://imas.gamedbs.jp/cgss/images/hp5CtvRs_xKgSAzwyUCENyOqBVF5Q_IoHkWyGzxbpMo.jpg,https://imas.gamedbs.jp/cgss/card/detail/3/3#card-3,Cu,
5,三村かな子,ノーマル,https://imas.gamedbs.jp/cgss/images/DJ0NU117ymWlP28M8UKv5uExQMkHIzdwaXqzA68pgxE.jpg,https://imas.gamedbs.jp/cgss/card/detail/5/5#card-5,Cu,
7,奥山沙織,ノーマル,https://imas.gamedbs.jp/cgss/images/G1UZAXl8tzpGF4sRENXdwlOcSnns0Opbisg_ffPm6Zo.jpg,https://imas.gamedbs.jp/cgss/card/detail/7/7#card-7,Cu,
9,小日向美穂,ノーマル,https://imas.gamedbs.jp/cgss/images/qsjTHcpVRR751Mq2CwuBgO4qozwMtsJNSbH5PiXliYM.jpg,https://imas.gamedbs.jp/cgss/card/detail/9/9#card-9,Cu,
11,緒方智絵里,ノーマル,https://imas.gamedbs.jp/cgss/images/gL7KVutONlwdpibWa3LdJYxlG5z4aD3LhVcDVlM5-HA.jpg,https://imas.gamedbs.jp/cgss/card/detail/11/11#card-11,Cu,
33,水本ゆかり,ノーマル,https://imas.gamedbs.jp/cgss/images/Jj2WpxQG0h5bNdV5doNAU7f_oKvtOdjTw3H0Yp_x3IM.jpg,https://imas.gamedbs.jp/cgss/card/detail/33/33#card-33,Cu,
35,椎名法子,ノーマル,https://imas.gamedbs.jp/cgss/images/Gr0mWEmQVymZikegupMTJC8v7ay5peNNkwvvQWI10Do.jpg,https://imas.gamedbs.jp/cgss/card/detail/35/35#card-35,Cu,
37,福山舞,ノーマル,https://imas.gamedbs.jp/cgss/images/WfXmhrIVBUHG935M92fkVQBWPx8zWsej0utSK1x4FNI.jpg,https://imas.gamedbs.jp/cgss/card/detail/37/37#card-37,Cu,
39,藤本里奈,ノーマル,https://imas.gamedbs.jp/cgss/images/-WxdqUVDHxanoW1E13OxmEQtXv_BcmlYD-096OhzASQ.jpg,https://imas.gamedbs.jp/cgss/card/detail/39/39#card-39,Cu,
55,一ノ瀬志希,ノーマル,https://imas.gamedbs.jp/cgss/images/w9hfp0ZiN2FM_dDBbURY-_BxehLBN6-KjOjlaVwC88s.jpg,https://imas.gamedbs.jp/cgss/card/detail/55/55#card-55,Cu,
59,相川千夏,ノーマル,https://imas.gamedbs.jp/cgss/images/YNl37kefWU0z5hRBYiuiAo7J-i_gZoh6qwUkmTyYT0M.jpg,https://imas.gamedbs.jp/cgss/card/detail/59/59#card-59,Co,
61,川島瑞樹,ノーマル,https://imas.gamedbs.jp/cgss/images/xRMj3TSh385vyGtEForP3KAIca9VxkReH_cQ0Btsy_M.jpg,https://imas.gamedbs.jp/cgss/card/detail/61/61#card-61,Co,
63,神谷奈緒,ノーマル,https://imas.gamedbs.jp/cgss/images/oADRqQPg-7RsjVQhmq5QOB6mvUrM6CedgAlj4qEx4yY.jpg,https://imas.gamedbs.jp/cgss/card/detail/63/63#card-63,Co,
65,上条春菜,ノーマル,https://imas.gamedbs.jp/cgss/images/PwIXSLDGzApxi6Se-WjmgF4Ahik-JDMBgM8RTLMvBwM.jpg,https://imas.gamedbs.jp/cgss/card/detail/65/65#card-65,Co,
67,荒木比奈,ノーマル,https://imas.gamedbs.jp/cgss/images/imtn9o_ai936V6luebGiHJpdIEJLcTf8OaVf66Lmhp8.jpg,https://imas.gamedbs.jp/cgss/card/detail/67/67#card-67,Co,
69,多田李衣菜,ノーマル,https://imas.gamedbs.jp/cgss/images/zwCdSnai5eKjJIpobpy_iQrLxtMGmdSX65r2RbZB2p4.jpg,https://imas.gamedbs.jp/cgss/card/detail/69/69#card-69,Co,
71,佐々木千枝,ノーマル,https://imas.gamedbs.jp/cgss/images/PO3h2XjCwDF7JAREE0S3zYn_Z6fiKguOicbtWImJHKM.jpg,https://imas.gamedbs.jp/cgss/card/detail/71/71#card-71,Co,
73,新田美波,ノーマル,https://imas.gamedbs.jp/cgss/images/Tqu3TOW5crNE8outMB6b4dCKOzxsFItD40ZuDx7jPeU.jpg,https://imas.gamedbs.jp/cgss/card/detail/73/73#card-73,Co,
97,橘ありす,ノーマル,https://imas.gamedbs.jp/cgss/images/IRrd5R43sD2qBoEpq9JTm7nsCKnbwYuUeumGcQ3xaPM.jpg,https://imas.gamedbs.jp/cgss/card/detail/97/97#card-97,Co,
99,松本沙理奈,ノーマル,https://imas.gamedbs.jp/cgss/images/8PWpO_JzRhgTzpoKdNZzrJcZ7NltM-D5fr3TFDNEoFA.jpg,https://imas.gamedbs.jp/cgss/card/detail/99/99#card-99,Co,
115,塩見周子,ノーマル,https://imas.gamedbs.jp/cgss/images/2Vy3aeAxJCZMMrzw1AU4pOSGZOBtdN0jQUfSLymTwPM.jpg,https://imas.gamedbs.jp/cgss/card/detail/115/115#card-115,Co,
119,高森藍子,ノーマル,https://imas.gamedbs.jp/cgss/images/dbeA6y8HqdsbroqMXWWyVeLRE1UaZA63csFB2hJE4ic.jpg,https://imas.gamedbs.jp/cgss/card/detail/119/119#card-119,Pa,
121,龍崎薫,ノーマル,https://imas.gamedbs.jp/cgss/images/hlMFSclaobvrHCRWbMSkNWTWCweMcm7O1W9AyIkCHCw.jpg,https://imas.gamedbs.jp/cgss/card/detail/121/121#card-121,Pa,
123,木村夏樹,ノーマル,https://imas.gamedbs.jp/cgss/images/_Pr6ythTUedhYRGr7dueqTi_9049Wzb2NIio_Vm49Rk.jpg,https://imas.gamedbs.jp/cgss/card/detail/123/123#card-123,Pa,
125,赤城みりあ,ノーマル,https://imas.gamedbs.jp/cgss/images/zzoNW4GBdnkT1USwQtFDXcE9sfpBx-IV-LMKaiimbcc.jpg,https://imas.gamedbs.jp/cgss/card/detail/125/125#card-125,Pa,
127,大槻唯,ノーマル,https://imas.gamedbs.jp/cgss/images/QMqn1_ifgv2-mk0kVJiSZYjRf6J7h-OVq1i3TW3VFSo.jpg,https://imas.gamedbs.jp/cgss/card/detail/127/127#card-127,Pa,
129,姫川友紀,ノーマル,https://imas.gamedbs.jp/cgss/images/KXB9yb8OC1d30RjCHlukFCX2N_BptA39vxLuxp8yxIk.jpg,https://imas.gamedbs.jp/cgss/card/detail/129/129#card-129,Pa,
131,堀裕子,ノーマル,https://imas.gamedbs.jp/cgss/images/bWnScGJ68tZcd_XQwOhiOCa_829EIZ-FIjJbvdiQz3k.jpg,https://imas.gamedbs.jp/cgss/card/detail/131/131#card-131,Pa,
